input,risposta
e come potrebbe non essere così 😌,Ah be' giusto che in famiglia tua son tutti politici. Poi più comunista della Lily non ce n'è e mi sembra che sia quella l'andazzo di famiglia hahahahaha
con calma,Spe non ti go più mandato il suo sticker
fra e la sua memoria formidabile,Libro?
ah no ho capito adesso lol,Un libro in generallo. Io continuo a comprare nuovi libri che non riesco a leggere🥲. Adesso ho comprato un saggio di 800 pagine e sto finendo un romanzo super descrittivo non perfettamente scorrevole
non perfettamente scorrevole HAHAHAHAHAHA,E me li scelgo io eh. Non me li da mica la scuola. Sono masochista
fortemente,Minchia.... È stata una dura ricerca. Ma alla fine. I nostri eroi (io) sono riusciti nell'impresa. Ecco a te:
povera ziaaa,Ah e comunque non mi hai più risposto. Cattiva
troppo scuro troppo chiaro un cazzo,"No a parte gli scherzi grazie, boost di autostima: fatto ✔️"
null,"Sottolineerei piuttosto da ""conviene"" a ""tempo"". E aggiungerei ""tanto tempo"""
io che sono l'opposto,Ma infatti conviene. Poi quello succede è un altro discorso
è più cauto e giusto,Caxxo mene. Dalle mie esperienze ho imparato che è meglio fregarsene e divertirsi il più possibile hahahaha
questo si solo che mi ritrovo sempre nel mezzo,Quale mezzo
mi diverto ma non me ne frego,"Ops credevo di aver inviato la risposta e invece no. Sisi certo, la mia era un'esagerazione. Aspetta che indovino... 10 a 1 su Elia contro Davide"
no oggi solo eli,Oh wow che novità. Aspe eli sta per elisa o elia?
in realtà calza,Ahhh ma allora avevo scommesso giusto
voti per elia quindi,"Intendevo dire che possiamo fare i grandi quanto vogliamo ma alla fine questa età abbiamo e questa ci teniamo. E farsi problemi per cose serie alla nostra età credo sia un po' una perdita di tempo, la cosa fondamentale è divertirsi e stare bene, poi se deve succedere una cosa seria succede, ma forzare uccide. Oh mamma mia che pesantezza filosofica, mi sono stancato solo a scriverlo, figuriamoci a leggerlo hahaha"
scusa di che dovremmo parlare se non di cose profondamente filosofiche?,"Anche questo è vero. Comunque, se sta volta è sobrio, non ti tengo a fare una doppia conversazione. Ho aperto whatsapp solo perché stavo andando a dormire, poi ho visto che non ti avevo risposto ma ora nanno"
buonanotte fra,Spero che ti si raddrizzi nel sonno 😕
lo spero anch'io,Notte notte
buondì,Giorno. Come va oggi?
tu?,"Io ho sonno perché ho sempre sonno, però ho dormito abbastanza bene"
l'ho rimesso a posto,Hahahahahahaha
ho deciso che mi prenderò la moto dopo la macchina,"Andiamo al mare ma non so dove, credo sia tipo una mezza sorpresa. Io sono indecisissimo perché so che la macchina è assolutamente più comoda e versatile ma voglio anche la moto, però entrambe è un po' troppo perché sai.. moto, macchina, anno all'estero, università.. quindi credo sceglierò la macchina e poi in futuro vedrò"
uaaaa che belloo,Credo di sì. E infatti siamo finiti in un posto fin troppo bello 🫠 Si chiama Fortino Napoleonico ed è letteralmente un fortino napoleonico trasformato in hotel. Fortino Napoleonico 071 801450 https://maps.app.goo.gl/LteJVnScAGiZbE5s9  Faccio prima a mandarti questo così guardi qui le foto hahaha
<Media omitted>,Ah.. ma dove questo?. Detto così sembra che tu possa visitarlo anche da casa alla fine. Bologna
madò che bello,"Abbiamo appena visto due stelle cadenti, sono sdraiato sul lettino in riva al mare a cercarle"
ma che telefono della madonna hai,Ma in realtà lo possono fare la maggior parte dei telefoni solo che nessuno lo sa
ma,Hai già scelto a chi scrivi questa sera?
e colmare il mio bisogno di romanticismo,"Sembra molto un ""il mio dovere l'ho fatto"". Che palleeeee. Ecco brava, vai a guardarti pretty woman e Notting hill"
concordo,TROPPE PER PRETTY WOMAN NON ESISTE
ma se passassi alle tipe?,NON OSARE BESTEMMIARE
hai ragione,Spetta
scusa...credo di aver appena trovato l'uomo dei sogni di ogni donna,:). Sono andato a controllare
perché,Perché ovviamente tengo segno di quante volte lho guardo
HAHAHAHAHAHAHAHAHA,Per ora sono alla settima visione 😇. Notting hill solo tre. Mannaggia. Ma pretty woman lo so a memoria
poi pride and prejudice,Bello ma visto solo una volta
un bel pianto liberatorio,Two weeks notice
cos,Miss congeniality
eh,"Sono altri titoli. Uno molto bello che ti consiglio lho visto di ""recente"""
quale dei due,"Silver linings. Quei due entrambi molto belli. Questo mi ha piacevolmente sorpreso, è molto particolare. Sono tutti attori famosissimi"
mmmh lo cerco,Prego. 🙃. Felice di aver contribuito a colmare il tuo bisogno di romanticismo
vado ad abbracciare il cuscino,"Comunque forse si ti conviene, mi sa che non ce ne sono tanti altri come me di sesso maschile.. 😕"
poi tu vai in canada,"Oh quello è un must, ti faccio compagnia telematica abbracciando anche io il mio"
abbraccio bluetooth,"Ma io per te non devo essere ""il fidanzato"", ti rovinerei tutto"
e non è per leccarti il culo,"Per te devo essere quel momento di sfogo che se hai bisogno ci sono, ti do affetto, ti faccio divertire e stiamo bene. Nulla di complicato. Tutto molto easy"
mi dà un senso di libertà,"Esatto, nulla di vincolante"
va bene basta sto dicendo stronzate,"Ma no ha molto senso. È giusto. Va be' tanto come dicevamo no vincoli, quindi non esistono né riposte né domande, l'importante è stare bene. Peace and love hahahaha"
si ma non riesco a non farmi ste domande,"Guarda che quella del ""no conseguenze"" sei tu mica io :)"
ma è una cazzata,Si sta ribaltando tutto qui fega
basta la questione sta diventando triste e decisamente troppo profonda,"Uhuh sensi di colpa, io io"
HAHAHAHAHA,Non chiedo ai camerieri le cose perché ho paura che pensino di non saper fare il loro lavoro
ma che cosa tenera,Sensi di colpa non mi batti
siamo messi male,Ah shit here we go again. Yaaaa
time to say goodnight,RIASSUNTO DELLA VACANZA CON MIO PADRE. Ok questa cosa sta degenerando. Yes
adoro,Io no.
siamo persone gentili,Si.
there's nothing wrong with that,Dai allora buonanotte. O buon film. A tua scelta
gialossai,Allora prima buon film e poi buonanotte :))
buondì,Oh buon giorno
null,È perché vai a letto troppo tardii
forse,Sisi te lo dico io. Sei riuscita a finirlo il film?
che fate oggi,"Losssapevo. Ma.. dormo, prendo il sole, leggo, bagno in piscina, leggo, prendo il sole, bagno al mate, mangio, dormo, prendo il sole... Più o meno questo"
direi più che buono,Come mi piace la bella vita
non ho ancora mangiato,Yessa
MAAAAMMMA MIA,Hahahahahahahahahha❤️
null,Adoro i dondoliiiiii. E le amache
le amache >>,"Locanda Ilune 0564 617173 https://maps.app.goo.gl/F2xkgWrh3QGzNSqd7. Ho fatto qui le vacanze per quattro anni, è stupendo. È un agriturismo piccolino con solo 4 camere quasi sempre occupate da turisti che si fermano solo per dormire, noi invece rimanevamo lì tutto il giorno ed era fantastico, c'era un giardino enorme con doccia all'aperto, amaca e tantissimi gattini, era il paradiso"
"grazie, lo userò per i miei viaggetti","Quali viaggetti hahaha. Potrei dirti che te l'ho mandata per chiederti consiglio, ma la verità è che avevo voglia di un complimento e come il presentimento che a te non manchino mai 😇"
se mi fa piangere ti meno,Se non ricordo male a me qualche lacrimuccia era scesa 🫠. Wow... è pazzesco. Tanto love per te❤️
nooo ti pregooo,Non è colpa miaaa. Non avevi specificato che volevi un film che non ti facesse piangeree
mi toccherà piangere di nuovo,Hahahahaha. Fammi sapere se ti piace alla fine. Ma è Silver linings no?
ho realizzato che una delle attrici ha fatto 10 cose che odio di te negli anni 90 e rivederla anni dopo è stato traumatico,La protagonista? Non ricordo come si chiama. Comunque non lo conosco il film
è un altro film da aggiungere alla lista  romanticism  needed,Sarà fatto. Comunque. Adesso siamo scesi nel parcheggio e c'era una coppia che a momenti si spogliava e lo faceva sulla macchina....
aaaah l'amore,Sembra che lo facciano apporta per sbattertelo in faccia. Ma vaffanculo
l'amore è bellissimo,Gne gne gne
e ti rosica perché lo sai,Bah. Baaahh
sai che ho ragione,😭. Guardati il film e stai zitta
sai che non vedo l'ora di rivederti,"E mi fa molto piacere. Sappi che l'ultima cosa che voglio è farti stare male. Se pensi che a volte esageri, per esempio con le foto, dimmelo. Preferisco prendere un poco poco più le distanze piuttosto che farti affezionare troppo ""inutilmente"". Sembra cattiva come cosa ma ti assicuro che le intenzioni non lo sono. Uffi mi sento in colpa per niente, domani scrivimi plss. Notte notte"
"non mi sto facendo film e tu non mi stai assolutamente illudendo, anzi sei la prima persona che ci tiene così tanto che io non soffra",Buondì e buon ferragosto
altrettanto ciccio bello,Grasssie
null,Ushh che acqua cristallina
bellissimo,"Qui ci dovrebbe essere il mare come li in teoria ma in questi giorni è mosso, sta sera piove anche in teoria :')"
ma dove siete ora?,Sempre al Fortino. Riviera del Conero la zona
marche,"Yes. Come mi piace tirarmela, scusa, cercherò di contenere il me narciso"
ma io voglio vedere l'outfit del galà di ferragosto 🥺,🥰🥰🥰. Simile a ieri ma con la camicia di lino blu
che bello caspitaa,Ci hai proprio preso gusto con i complimenti hahaha
"mi viene, dico quello che penso e con te non è difficile",Comunque come stai?. Adesso sono a letto in camera
tu?,"A parte che mi brucia tutto perché sono il solito pirla che si scotta bene. Whyy, l'amaca e il bel mare non sono bastati?"
io pure,Figa non riesco a dormire per il prurito. Dondolo
qua ci vorrebbe del dopo sole alla menta,Guarda. Lasciamo stare
bruttino,E prude ancora da matti. Mai successa una cosa così
cremaaa,"Figa non hai idea. La crema lho già messa due volte, ma non fa niente, mi prude lo stesso tantissimo"
olio?,Adesso ti faccio ridere
oddio vai,Mio padre è andato a comprarmi qualcosa in farmacia. Io intanto sono rimasto in camera. E per alleviare il prurito è almeno 4 ore che mi rotolo addosso roba gelida del frigo
HAHAHAHAHAHHAHAHAHAHAHAHA,Al momento ho una lemon
HAHAHAHAHAHA,È l'unica soluzione :')
madò che voglia,Hahahahaa. Al momento diciamo che non è la mia priorità
quindi oggi a parte fare la mummia quali sarebbero i programmi,Preso antistaminico e messa crema. Se migliora credo andrò a leggere un libro all'ombra in piscina
come procede?,Procede a letto con un asciugamano bagnato sul petto che guardo video di scacchi e netflix
madonna fra hahaha,"🫠🫠🫠🫠🫠. ""Conosciuto anche come prurito del diavolo o prurito delle formiche di fuoco, alcune persone lo descrivono come un prurito implacabile tanto da tenerli svegli durante la notte"""
<Media omitted>,"""Il prurito dell’inferno segue la scottatura, anche se ancora non è noto perché si verifica in alcune persone e non in altre."". Un prurito lieve è un sintomo comune delle scottature, ma il prurito grave non è comune. La pelle contiene terminazioni nervose che inviano segnali al cervello su dolore e prurito. Una teoria sul prurito dell’inferno è che queste terminazioni nervose vengono danneggiate e inviano segnali pruriginosi al cervello mentre la pelle attraversa il suo processo di guarigione."". Io che salto il pranzo da tre giorni: 🫠. Ahhhhh non ne posso piuuu, adesso ho preso anche il cortisone. Figa qualcosa farà pur effetto, qui mi prude sempre di più"
oddio ma sei andato a farti vedere?,Guardia medica turistica. Sto morendo dal prurito. Non hai idea. Di quanto sia insopportabile
mi dispiace tanto,"Sto prendendo crema al cortisone e pillole di cortisone ed antistaminico. Ora è sopportabile, ma contando che ho un prurito costante da più di 24 ore ormai, è incredibilmente fastidioso"
madonna fra ma il medico che dice?,Sono vivo. Poi ti racconterò
null,Ma ho la faccia distrutta e da rincoglionito hahahaha. Comunque ora sto decisamente meglio finalmente. Forse potrò riposare 🫠
daaaai sono contenta,"Messo altro cortisone e preso altro antistaminico, ho *bisogno* di riposo"
ma domani torni o sbaglio?,Eh già
urca mi dispiace,Bella vacanza neh?. Un giorno di mare e due chiuso in camera 👌
dai lo è stata a parte per gli ultimi 3 giorni,Buonanotte vado a dormire se riesco :/
capelli bagnati,La canottiera del papi indosso a te sembra un vestito hahaha. Obv. Ma perché quando mi prudeva continuavo a fare docce su docce fredde ma senza mai lavarmi i capelli e quindi si erano sporcati come non so cosa. P.s. ovviamente non sono arrivato ora
com'è andato il viaggio?,"Minchia oh, visualizzato che dire all'istante è dire poco"
i know i know mi fai quest'effetto,"Tutto bene, con mio padre parliamo sempre tantissimo quindi 5 ore che sono volate"
che cosa carina,Si be' conta che parliamo di geopolitica ed economia per il 90% del tempo hahahaha non so se rientri nella definizione di _carino_
stimolante,"Sisi ma a me piace. Mi racconta anche molta storia; io ho spesso grosse lacune soprattutto per la storia più recente che a scuola neanche si fa praticamente, quindi mi è anche utile"
"questo è vero, anche a me piace ascoltare i miei raccontare","Buooona notte. Così, un po' a caso"
ti prego dormi,Hahahaha. Sisi adesso vado
il 24 non posso teoricamente tutto il giorno,Sorry ho letto appena svegliato e mi sono dimenticato di rispondere. Fantastico
ci devo lavorare ma è per avere un'idea dei tuoi impegni,Alur. 25 sera sono impegnato io
io non ci sono,Quando. Ahh che confusione
tu il 23 pome puoi?,Sia 24 che 25 quindi non puoi
nop,"Spetta ma se tu torni il 23 per pranzo, 24 non puoi, 25 non puoi, 26 non posso io perché è il mio ultimo giorno... O il 23 o il 23, non mi sembra ci siano molte opzioni :D"
ma la vedo veramente ardua,"Ahhhh ma mi ero perso il ""di nuovo"". Va be' ma il 23 pomeriggio va bene"
okkei,Avevamo letto male le misure delle valigie quindi ora devo comprarne due nuove e soprattutto posso portare meno roba di quanto pensassi 🥺😭
quindi potrei il 24 pomeriggio,"Ooke. Per ora mi vanno bene entrambe, ti faccio sapere poi quale è meglio. Però per ora rimarrei per il 23 pomeriggio"
<Media omitted>,"Giusto così, fai le lavatrici donna. Noi ci vedremo il 24"
dove mi porti di bello?,"No in realtà non so perché i miei amici si sono svegliati ora a dire ""dai organizziamo qualcosa per la tua partenza"". 🫠"
va beh tu fammi sapere,E io... a parte che non me l'aspettavo ma poi non ci sono più giorniiii mannaggia cazzo. Sisi certo
hai ancora una settimana,"Per ora sicuro il 25 non posso, 26 sarebbe meglio di no e lunedì devo andare a comprare una valigia da qualche parte durante la giornata. Fidati. Che. È. Pochissimo."
lo immagino,Yep
lo capisco,Più che altro alla fine ho solo due giorni 23 e 24
dimmi tu,Ti faccio sapere
va bene,Anche perché non decido io quando loro organizzeranno. Sempre se faranno qualcosa. Perché inizio a dubitarne
scus,Meh. Fra mi ha invitato 23 sera a vedere i minions. Per farti capire
beeeellloo,"""Me ne vado per 10 mesi"" ""Ah okay, vuoi vedere i minions?"". Più o meno è andata così"
daai ma è l'ultimo film,Buone nuove. Lunedì sera film con Fra Martedì vedo gente e mercoledì tutto per te
mercoledì sarebbe il 24?,Si
aaaappoosto,Più si avvicina la partenza meno dormo tranquillo 🫴🏻
ma dovresti prendere qualcosa se no arrivi al 27 distrutto,Già. Ehi. Alla fine ho capito una cosa.. Sei tu e lo sei da tempo.
fra,"Sento che ci sia qualcosa di speciale tra noi, mi sfugge cosa... Scusa, Tommaso mi ha preso il telefono... Però ha scritto quello che  penso.."
mi sto perdendo,"Oh figa finalmente ho il mio telefono. Scusa non avevo abbastanza energie per contestare. Ho protestato ma fino ad un certo punto, sorry"
voglio capire,Ma niente gli ho solo parlato di te. E loro si sono messi a fare i simpatici
ne parliamo il 24,Yep concordo
immaginavo,Grazie :3. Ora vado che inizia il film
goditelo,"Tornato ora. Credo proverò ad andare a dormire, sperando di riuscire a riposare qualche ora in più almeno sta notte :""). Comunque se in questi giorni sono un po' scomparso è perché dormo sempre meno e peggio, ho sempre più cose da fare per la partenza e l'ansia inizia a farsi sentire..  Non che mi debba giustificare, era solo per fartelo sapere ecco   Scrivo tutto nello stesso messaggio perché se no poi ti ritrovi con 7 notifiche da fracata e ti spaventi hahaha  Notte notte :)"
"comunque buonanotte, tifo per te daje ce la puoi fare",Ho dormito 12 ore quindi credo tu abbia tifato bene hahahaha
beh ma di queste 12 ore quante di sonno vero?,Nono praticamente tutto
wow,Cioè mi sarò svegliato 3/4 volte ma per pochissimo
allora hai recuperato in modo pazzesco,Adesso vedo cosa dice l'orologio hahaha
beh beh beh,"Allora. Domani prima di pranzo vado a tagliarmi i capelli... Per favore quando mi vedrai non ridere, ti scongiuro, ho già abbastanza traumi a riguardo 🫠"
"non lo farò, promesso",Figa a chi lo dici. Mi dispiace. Ma non ho altri momenti liberi
daai magari vengono bene e ti piaci di più,I capelli il primo giorno non piacciono mai
ma magari sii,"https://open.spotify.com/track/0FoNYKT8CgtG0VfXoq0M5U?si=nH2XK96AQ4GummXTnuGTOg&utm_source=whatsapp  Comunque tipo una settimana fa avevo risentito questa canzone e avevo pensato a te e volevo mandartela, poi non so perché non l'ho più fatto, ma tanto lo sto facendo ora :D"
è oggettivamente una bellissima doccia,Uffa allora già la conoscevi
no no,"Ah oki allora bene haha. Di preciso domani quando e per quanto saresti libera?. Ah ma che idiota, mi sono ricordato ora che sei tornata oggi :/ Com'è andato il viaggio?"
fino alle 7/7:30,Mamma mia che precisione. Non me l'aspettavo. Sta volta vedrò di riportarti a casa in orario :)
"comunque scusa mi sono scordata di risponderti. bene, ho dormito la metà del tempo ovviamente ma è durato tipo 5 ore e 40 e a una certa veramente non ne potevo più","HAHAHAHA. Ah ma guarda, mi ero anche dimenticato di avertelo chiesto :D. Sono fuso"
ti giuro mi sale un'ansia assurda,What..? In che senso
cosa,Non ho capito perché ansia
ansia di prendere il covid,Ah :. Spe ma Eli sarebbe Elia?
yep,Ahh okay
poi c'ho ansia per lui,Altra domanda ma tanto a te va bene perché così ti distrai. Dov'è che abita?
vai,Ecco a posto
Milano porta romana,"Uff che palle Milano, ti capisco"
e io c'ho l'ansia,Ah... E mi sembra il minimo mi pare
e mi sembra tantissimo di star bruciando le tappe,Ma scusa e ai tuoi che dici
che sono dalla mia migliore amica,Aia
AAAAAAAA,Ne avete mai parlato?
no,A parte che quanti anni ha. Neanche lo so
quasi,Domandina tattica. Maaaa
hahaha vai,Perché tu avresti accettato..?
mi mette ansia la messa in pratica,Scusa se insisto ma non è normaleee. Cioè okay per i tuoi
lo so,Ma dovrebbe farti piacere stare con lui. In teoria
niente mi sento una bambina,Ah okay questo capisco allora. Capisco ancora meglio. Allora. Possibili soluzioni: non dormi.. Easy win
altre?,Torni a casa?. Vai dalla tua migliore amica?
c'era un tipo con la mano sul mio sedile,Vieni da me? Saresti ben accetta eh
queste avance,Hahahaha
mi è appena passato di fianco il controllore,"""Scusa mamma mi sono accorta che era in sicilia"". Perché ovviamente la signorina ribelle non ha il biglietto :))"
c'è una tipa che mi squadra,Elena.. Calma.. La gente ha gli occhi. E può capitare che ti guardi
te sfonno,"Ahhh. Scusa. Sono in difficoltà. You deleted this message. Tienimi aggiornato se vuoi. Ok togli il ""se vuoi"", tienimi aggiornato.  :). Ah ti ho visto, online. Dimmi solo ""bene"" ""male"""
sto bene,"Se fai presto puoi dirmi come vorresti che mi tagliassi i capelli. Molto presto però. Probabilmente starai ancora dormendo quindi niente, però ci ho provato haha"
com'è andata,Sto tagliando :)
woooo,"Allloooora. Per la prima volta in assoluto mi piaccio appena uscito dal parrucchiere. Mai successo. Tu piuttosto, com'è andata ieri?"
è importante,Dammi un attimooo. Si ma se fosse veramente importante potrei rimandare. Però a pranzo di sicuro no
no no pranzo no,Ho come l'impressione che mi stia per dare buca
non è detto che mia madre mi lasci uscire subito dopo,Ma come
e sono veramente distrutta,Che problema hai?
?,Con i treni
e ci metto 47 minuti da qua,Capito
che dici?,Rossa + 221 comunque è la soluzione quando cancellano i treni. Ba.. non saprei... Controllo l'agenda. Ti faccio sapere
mi dispiace,Ora però so che hai tutto il tempo quindi racconta. :)
preliminari,Ah così diretta
sorprendentemente lui a me,Okay hahahhaa
così,As always
poi stavamo morendo di fame e siamo scesi in ciabatte a fare colazione,"Son contento per te, hai decisamente vissuto una giornata ""adulta"". Non tanto per il sesso ma per l'insieme"
è stato veramente surreale e sono contenta,"Controproposta. (Scusa, demordere non è il mio forte). Riposino al parco all'ombra di un albero con musichetta rilassante? Se riesci a tenerti posso anche accompagnarti in moto così sei comoda comoda :). Attendo _pazientemente_ una risposta :))"
a che ora?,"Quando vuoi. Mi ero riservato dalle 2 in poi per te quindi non ho fretta. Certo, se mi dicessi di no sarebbe meglio subito così faccio ancora in tempo a vedere qualcun altro.. però fai tu :)"
dimmi tu,"Erano le 4, ora sono già le 5 :'). No okay le 5 è troppo tardi. Per esperienza quando provo a fare qualcosa di tirato viene una merda, meglio le cose fatte con calma ma bene. Vai a dormire a casa che per te è meglio. A che ora dovrebbe arrivare il treno a Monza?"
non so quando arrivi,Va bene
a che ora?,Fai conto che per pranzo devo essere a casa e pranzerò probabilmente presto
tipo?,No okay forse per l'una
quindi dimmi tu un orario,"Non so perché io avevo pensato di andare ad un parco ad Arcore che volevo vedere da un po', ma al mattino chi c'ha voglia. Se vuoi fare qualcosa di particolare dimmelo, altrimenti non saprei, possiamo fare un giro al parco. La mattina è bello perché c'è poca gente"
tu vorresti prendere la moto o preferiresti di no?,Posso usarla tranquillamente
ma hai voglia ?,"Dipende per andare doveee. Scusa sono un po' scazzato sta sera. Sarò sincero, di solito mi piace organizzare queste cose, ma tra la partenza e la serata un po' no non mi viene in mente niente da fare la mattina. Ei"
ci sono,Nono tranquilla
https://maps.app.goo.gl/LSuePUMjWibSrGJv8,........
ooook,È lecco hahahaha
no,È letteralmente di fronte a Lecco hahaha. Credevo mi prendessi in giro
in un parco,Pian sciresa?
"comunque se nessuno di questi ti convince va benissimo il parco, non ti preoccupare","È che sono molto lontani e visto che non ho poi così tanto tempo preferirei magari parlare piuttosto che guidare ecco. Anche se guidare mi mancherà molto in Canada. Ma a sto punto andiamo al parco di Arcore, villa Borromeo, dovrebbe essere carino. Dai basta, va bene così, al massimo cambiamo idea domani mattina, possiamo fare quello che vogliamo. Ora vai a dormire che ti serve decisamente di più. Metto la sveglia alle 8, poi vediamo.  Buonanotte,  dormi bene"
buongiorno comunque,"Buondì, non mi aspettavo ti saresti svegliata così presto"
ma certo ho messo la sveglia apposta,"Ah wow, ne sono onorato"
quindi Arcore?,"Ma, secondo me si può fare, fa solo un po' freschino la mattina"
felpina e si vola,Bene allora mi preparo. Ah sappi che mi vestirò un po' di merda perché ho tutto nella valigia
"a che ora, dove ci vediamo?",Ti vengo a prendere appena siamo pronti entrambi
grazie,Ti tratto decisamente troppo bene
di lato a casa mia,Si
metto dei pantaloni lunghi?,"Come sei più comoda, io ce li ho corti, ho paura di morire di caldo dopo altrimenti. Scusa avuto un piccolo imprevisto, tra poco esco e vado a prendere la moto"
vuoi che porti un telo?,"Ci avevo pensato ma poi ho desistito non so neanche io per tr. Perché*. Quindi si, prendilo pure, io sono in garage, 20min massimo e sono li"
no sta cosa mi fa paura,"Hahahaha. Tranquilla non è una setta. Ci ha casualmente visto,  essendo un club di Monza abitano tutti a Monza e dintorni"
ma in moto?,"Ma che ne sooo. Davvero non ti preoccupare mica hahaha È come se ci avesse visto godino e mi avesse scritto, niente di ché"
ma che fate in sto club?,Organizziamo eventi per donare in beneficenza
ma veramente??,Si 😗. La mia indole per aiutare gli altri non si manifesta solo nel far passare le sconosciute alle rotonde hahahaha
ed è figo che ti abbiano invitato,Eh lo so hahahaha
ma devi pagare?,La quota sociale è di 50€ all'anno
figata,Poi ovviamente si paga se si partecipa agli eventi ma tanto va tutto nelle casse del club che a fine sempre in beneficenza vanno
quanto spesso vai?,"Durante l'anno tanto, facciamo due riunioni al mese più gli eventi. Ho partecipato anche a molti eventi nazionali quest'anno. Roma e Montecatini i più grandi"
ma che bello,La cosa veramente bella è che quando arriverò in Canada frequenterò il leo club di langley perché c'è anche lì come in tutto il mondo. E farò la mia piccola parte anche per il Canada hahaha
da quanto ne sei socio?,"In teoria sono ancora socio in prova perché minorenne e perché poi vado via per un anno. Però in pratica sono dentro da un anno e qualche mese. Anche Tonno è stato socio in prova una vita perché c'era il covid ed era minorenne, spetta ora ti mando la foto della sua spillazione (mettere la spilletta del club = diventare socio)"
ma non siete tutti uomini vero?,Nope. In futuro se sarai ancora così tanto interessata magari potresti farci un pensierino :)
sarebbe bello entrare,Curiosità e amici. Te l'ho detto che non serve altro. Comunque non mi piace non essere più sull'Olimpo ☹️ Vedi di farmici tornare in questi 10 mesi
hahaha vedrò cosa posso fare mio signore,Dico dico. Vedo che siamo sulla buona strada🥰
è un tuo fetish stare sul gradino più alto,"Mi dispiace che non potremo continuare a frequentarci come amici, mi sarebbe piaciuto vederti più spesso quest'anno che viene"
recuperiamo fra 10 mesi 🙃,Mi serve un parere sulloutfit. Right now. Sei a casa più tardi?
ops,Ok
ok?,"Nel senso ""okay va be' pazienza"" hahaha. Sempre dai nonni?"
(dai miei nonni),Capito
tutto ok?,"Sisi tutto bene. Vado a dormire, buonanotte  *bacino"
c'ho paura per i nonni,"Mi dispiace, capisco la preoccupazione"
sei carico per domani?,"Vedrai che risolve tutto, le varianti sono sempre meno aggressive e con tutti i vaccini e le cure a disposizione ormai siamo molto più sicuri. Dormo solo 4 ore per affrontare un viaggio di 18 ma si. Ti voglio bene. Molto spontaneo, naturale e senza motivo, ora però corro a letto, notte notte. Cerca di non pensare troppo al covid e riposa, andrà tutto bene *altro bacino"
buon viaggio stellina,"Quando te l'ho mandata ero già al gate a malpensa, la foto era delle 3 :') Sono atterrato ora a Parigi"
com'è andato il viaggio?,"Bene bene, molto veloce in realtà, niente rispetto al prossimo"
quanto ci metti?,Arrivato ora :)
che ore sono lì?,Le 12
di cosa,A.m.
suppongo tu abbia da fare quindi rispondi pure quando hai tempo. stai ancora in aeroporto o sei già arrivato a casa? com'è la famiglia? com'è andato il viaggio?,Hahahahaha. Vengono a prenderci in aeroporto verso le 15 e dovrei arrivare a casa entro le 16 (vostra 1 di notte)
dio santo,Ops doveva essere visualizzazione unica
come si sta lì?,Mi oriento un attimo e ti faccio sapere haha
mama I'm in love with a criminal,Non ci sono le valigie. 🫠
no no no,Arriveranno domani. *spero*. Arrivato ora a casa. Ci ho messo solo 24h e 10min 🫠
io mi sono appena svegliata quindi buongiorno hahaha lì è sera?,Adesso le due di notte ma a me sembra mattina perché li sono le undici ahhh. Che brutto il jetlag
dormii,Buongiorno
non è un po'presto?,"No perché ero ancora abituato agli orari italiani, quindi ha senso"
che ore sono,Ora 7:35. Quando mi sono svegliato 4 e qualcosa :D. Comunque quando l'altro giorno ti ho chiesto se eri a casa era perché mi ero deciso di farti leggere le mie poesie..
ma come,"Ci ho pensato di nuovo e mi farebbe piacere, se vuoi ti mando la mia raccolta... PERÒ"
fra,A certe condizioni. Dimmi
cioè,No. Dimmi
ti ringrazio,Ma(?)
non c'è un ma,Mmmmmm
quali condizioni,Che tu poi mi faccia sapere quale è la tua preferita
va bene,"Dopo te la mando, dovevo sistemare due cose al computer prima"
va bene va bene,È un po' tanto lunghetta eh
non ti preoccupare,Mi fa immensamente piacere. Quello era l'obbiettivo
aaaaaaaaaa ❤️,You deleted this message
che faccino stanco 🥺,Shi
comunque non ho capito quante ore di fusorario ci sono,"9 in meno dell'Italia. Ora sono le 14:16. Comunque vai tranquilla, ci puoi mettere anche dei mesi per quanto mi riguarda haha"
capito,Fai tempo a svegliarti domani mattina che io non sono ancora andato a letto
aspe,Ergo posso ancora ricevere la buonanotte muahahaha
stupendo,Già. E se non riesco a dormire posso romperti le palle senza paura di tenerti sveglia 🥰
caspita,"Fatto un giro nella piazzetta qua dietro, ma ci sono solo negozietti che vendono cibo. Poi siamo andati tutti assieme a Fort Langley che è un quartiere qui vicino che ha tutti i negozi e simili e abbiamo fatto uno ""snak"". Mamma, Trystan e la sua ragazza"
mi servono delle foto dove si veda di più,"Nah, è troppo carino per rientrare nei tuoi gusti <3"
<Media omitted>,AHHAHAHAHAHAHAHAHA. Spe
<Media omitted>,A me non piace molto ma brutto di sicuro non è
carissimo,😑. Hai dei bei pettorali perché si allena okay?
ma io voglio la faccia,Uffaaa. È paffuto di faccia
non per dire,"Si lo so è da sticker hahahaha. Pingato il messaggio sbagliato. Si ma più chill and safe, queste sono le vibes"
comunque enjoy,Yepp
che dire,Dormiiiiii
quasiii,Era un'affermazioneee!!!!!
ok papi,Brava bimba
:),"Ti meriti un bacino. *muah. Tryytan's late time snack with guacamole chips, peanut butter bread and a peach at 11pm hahahaha"
gourmet 🤌🏼,Mi hanno scritto che la mia valigia arriverà tra circa un'ora a casa 🫠
